Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,25871.01,9660.86,1252500.00,224,0,4,0,209,0,247,0,21,0.4277800048558257,3024
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,342566.87,26314.43,5411500.00,2024,0,34,0,1563,0,2169,0,170,0.8985202251407283,22728
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,411008.39,201896.48,14348500.00,4476,0,31,0,596,0,5147,0,123,0.789678778382938,62244
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,396681.04,325840.00,118745000.00,5594,0,0,18,540,0,6708,0,164,0.9732461063763544,70512
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,461402.65,346718.37,140014800.00,6146,0,14,0,599,0,7343,0,169,0.9776076886240448,78372
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,391253.72,263200.00,123579800.00,5067,0,0,16,349,0,5890,0,136,0.9783074000527877,65532
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,421217.56,255710.00,133540000.00,5241,0,0,28,404,0,6197,0,148,0.9757525276067944,67404
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,419307.36,213060.00,128543100.00,4896,0,0,39,505,0,5850,0,134,0.972118054718373,61752
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,418926.08,189805.00,134420000.00,4713,102,0,9,16,433,5777,0,131,0.9759771626899225,61668
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,568964.18,0.00,0,3255,0,23,0,494,0,3754,86,1.33038701617988,37644
